"source_sheet","source_cell","records_with_same_source_cell","duplicate_flag"
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI28",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI29",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI33",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI34",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI35",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI36",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI37",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI38",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI39",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI40",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI41",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AI43",1,FALSE
"COMPARATIVO","B10",1,FALSE
"COMPARATIVO","B11",1,FALSE
"COMPARATIVO","B12",1,FALSE
"COMPARATIVO","B13",1,FALSE
"COMPARATIVO","B3",1,FALSE
"COMPARATIVO","B4",1,FALSE
"COMPARATIVO","B5",1,FALSE
"COMPARATIVO","B6",1,FALSE
"COMPARATIVO","B7",1,FALSE
"COMPARATIVO","B8",1,FALSE
"COMPARATIVO","B9",1,FALSE
"COMPARATIVO","C10",1,FALSE
"COMPARATIVO","C11",1,FALSE
"COMPARATIVO","C12",1,FALSE
"COMPARATIVO","C13",1,FALSE
"COMPARATIVO","C3",1,FALSE
"COMPARATIVO","C4",1,FALSE
"COMPARATIVO","C5",1,FALSE
"COMPARATIVO","C6",1,FALSE
"COMPARATIVO","C7",1,FALSE
"COMPARATIVO","C8",1,FALSE
"COMPARATIVO","C9",1,FALSE
"COMPARATIVO","D10",1,FALSE
"COMPARATIVO","D11",1,FALSE
"COMPARATIVO","D12",1,FALSE
"COMPARATIVO","D13",1,FALSE
"COMPARATIVO","D3",1,FALSE
"COMPARATIVO","D4",1,FALSE
"COMPARATIVO","D5",1,FALSE
"COMPARATIVO","D6",1,FALSE
"COMPARATIVO","D7",1,FALSE
"COMPARATIVO","D8",1,FALSE
"COMPARATIVO","D9",1,FALSE
"COMPARATIVO","E10",1,FALSE
"COMPARATIVO","E11",1,FALSE
"COMPARATIVO","E12",1,FALSE
"COMPARATIVO","E13",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E14",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E15",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E16",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E17",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E18",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E19",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E20",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E21",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E22",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E23",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E24",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E25",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E26",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E27",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E28",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E29",1,FALSE
"COMPARATIVO","E3",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E33",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E34",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E35",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E36",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E37",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E38",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E39",1,FALSE
"COMPARATIVO","E4",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E40",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E41",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","E43",1,FALSE
"COMPARATIVO","E5",1,FALSE
"COMPARATIVO","E6",1,FALSE
"COMPARATIVO","E7",1,FALSE
"COMPARATIVO","E8",1,FALSE
"COMPARATIVO","E9",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F10",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F10",1,FALSE
"COMPARATIVO","F10",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F11",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F11",1,FALSE
"COMPARATIVO","F11",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F12",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F12",1,FALSE
"COMPARATIVO","F12",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F13",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F13",1,FALSE
"COMPARATIVO","F13",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F14",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F14",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F15",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F15",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F16",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F16",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F17",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F17",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F18",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F18",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F19",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F19",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F20",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F21",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F22",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F23",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F24",1,FALSE
"COMPARATIVO","F3",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F4",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F4",1,FALSE
"COMPARATIVO","F4",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F5",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F5",1,FALSE
"COMPARATIVO","F5",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F6",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F6",1,FALSE
"COMPARATIVO","F6",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F7",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F7",1,FALSE
"COMPARATIVO","F7",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F8",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F8",1,FALSE
"COMPARATIVO","F8",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","F9",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","F9",1,FALSE
"COMPARATIVO","F9",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G10",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G10",1,FALSE
"COMPARATIVO","G10",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G11",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G11",1,FALSE
"COMPARATIVO","G11",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G12",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G12",1,FALSE
"COMPARATIVO","G12",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G13",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G13",1,FALSE
"COMPARATIVO","G13",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G14",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G14",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G15",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G15",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G16",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G16",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G17",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G17",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G18",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G18",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G19",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G19",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G20",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G21",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G22",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G23",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G24",1,FALSE
"COMPARATIVO","G3",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G4",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G4",1,FALSE
"COMPARATIVO","G4",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G5",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G5",1,FALSE
"COMPARATIVO","G5",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G6",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G6",1,FALSE
"COMPARATIVO","G6",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G7",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G7",1,FALSE
"COMPARATIVO","G7",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G8",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G8",1,FALSE
"COMPARATIVO","G8",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","G9",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","G9",1,FALSE
"COMPARATIVO","G9",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H10",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H10",1,FALSE
"COMPARATIVO","H10",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H11",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H11",1,FALSE
"COMPARATIVO","H11",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H12",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H12",1,FALSE
"COMPARATIVO","H12",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H13",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H13",1,FALSE
"COMPARATIVO","H13",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H14",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H14",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H14",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H15",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H15",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H15",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H16",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H16",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H16",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H17",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H17",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H17",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H18",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H18",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H18",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H19",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H19",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H19",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H20",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H20",1,FALSE
